"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_notAfter <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","2026-11-26 14:29","",""
"cert_extlifeSpan <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","http://c.pki.goog/wr1/DKk-jLcYzKk.crl","",""
"cert_ocspURL <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","--","",""
"OCSP_stapling <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","not offered","",""
"cert_mustStapleExtension <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","www.onpe.org/104.18.27.211","443","LOW","--","",""
"certificate_transparency <hostCert#1>","www.onpe.org/104.18.27.211","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","3","",""
"certs_list_ordering_problem <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","no","",""
"cert_caIssuers <hostCert#1>","www.onpe.org/104.18.27.211","443","INFO","WR1 (Google Trust Services from US)","",""
